Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,606860.8124,635529.9917,630234.9976,550563.2058,608925.6889,571056.9014,613749.9371,617773.4563,590310.8141,605111.9367,589473.4613,690001.8173,690401.593,604285.6676,621420.4289,622092.6414,600642.7642,647518.2719,642275.8577,613604.7013,571903.1199
Austria,78694.10972,83001.77734,84500.38127,89432.43453,90322.80678,90356.77091,88152.69679,85204.26989,84953.81617,77767.40594,83550.95772,81738.65126,78292.56689,78909.03381,75143.18762,76429.62374,76780.91177,78699.13623,75582.15688,76622.88544,71017.8287
Belgium,138266.4483,138694.356,131373.8147,134760.5446,132641.1624,129912.637,125999.4899,121215.719,123934.9372,117422.2366,124908.4666,113152.4764,111928.5141,112869.6307,106749.5809,111403.0469,110335.3227,108193.7955,108952.4335,108086.3373,100063.4878
Canada,648194.3571,640276.5974,661256.3395,682672.0184,679689.9625,693709.7211,682555.9105,716335.7077,691864.5229,656853.9465,673672.8602,690328.581,690454.3552,702661.421,710549.609,708799.9174,709180.1212,725612.8229,742232.5371,726904.1199,677709.2227
Chile,70030.0334,67899.39687,68527.04914,69252.82561,74639.52957,75236.85374,76544.9087,84293.0117,89031.66989,86662.29099,91817.82978,98241.40312,100676.7049,103897.7388,96490.37495,102210.7159,106621.636,107321.0615,107364.6255,113466.4538,106722.3342
Colombia,141245.692,143400.1128,141502.7824,143002.7025,144244.3916,145701.7786,146405.3219,151267.0656,153089.9338,156750.4298,162038.7755,166014.9048,164091.467,172344.8462,175835.9665,175033.6574,178893.9855,174466.4908,182787.6556,186444.7985,186999.3355
Costa Rica,10415.03619,10725.3465,10757.81741,11114.12492,11138.83123,11680.17054,12014.05874,13378.75534,13563.61134,13119.85323,13252.16003,13939.11362,13894.03481,14390.80079,14438.24508,14296.03177,15103.53237,15440.86498,15749.85459,15718.67899,14405.0866
Czechia,145672.3692,145448.2968,139899.2704,143170.1463,143452.0205,141940.199,142995.4726,144802.4928,139368.3281,133423.4256,134691.9645,132059.1096,128574.252,123329.6396,120621.652,122514.148,124271.9489,124327.6965,123073.8691,117767.1074,108308.4176
Germany,959124.8436,977886.1022,961780.6029,963014.9421,946507.784,924531.5991,933322.6173,904886.8841,907720.9431,851247.2644,881692.6436,852005.882,865209.4228,881582.6541,840763.1258,845437.6348,848445.002,831156.0109,802489.7991,751652.422,692750.7552
Denmark,70523.49979,72212.32806,71563.80008,77081.84035,70907.8511,67219.02344,74875.1201,69974.65083,66418.09065,63485.69286,63737.42493,58248.63644,53122.4767,54525.65812,50328.46514,48303.77416,49939.3101,47663.42765,47108.3564,43569.79676,41135.55451
Spain,369377.061,367801.9101,384461.0199,393438.9247,409553.757,424168.8721,418157.2386,434497.876,401199.1964,365092.6541,350175.3957,349834.6367,343393.9951,317006.8865,315739.0923,326263.0749,316708.5994,333287.681,326838.0012,309375.0948,270310.9717
Estonia,18060.79141,18335.58763,17892.45283,19781.36368,19914.25934,19903.68604,19200.40872,22931.85794,20663.03742,17144.33241,21672.08663,21637.86275,20163.71941,22029.62753,20799.44491,17592.51222,18996.67903,19899.03282,18817.84752,13174.99211,10198.8019
