Group,activity,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities","13,252,155","13,377,214","12,880,158","12,932,749","12,405,434","12,819,415","12,862,463","12,732,474","12,077,626","11,687,216","11,926,049","11,502,163","12,303,638","11,789,862",E   10445231
"Agriculture, forestry and fishing",Forestry and logging,"635,849","647,828","644,752","655,607","621,814","651,095","664,637","659,364","624,401","607,831","627,106","586,680","595,341","578,867",E   517873
"Agriculture, forestry and fishing",Fishing and aquaculture,"1,071,841","1,117,246","1,072,305","1,119,413","1,141,345","1,016,471","1,037,596","984,309","953,223","1,094,865","1,003,238","1,024,550","1,070,408","1,189,100",E   1063525
Manufacturing,Manufacture of food products; beverages and tobacco products,"10,150,688","9,316,313","10,461,623","9,833,201","9,332,616","9,533,561","9,348,935","9,257,013","9,371,886","8,782,530","9,008,805","8,860,334","8,117,369","8,783,982",E   8331835
Manufacturing,"Manufacture of textiles, wearing apparel, leather and related products","1,017,569","813,461","786,352","736,481","614,560","646,117","573,274","612,757","645,086","758,714","659,772","627,718","352,562","395,394",E   362922
Manufacturing,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","546,794","396,823","436,691","418,014","398,493","366,865","360,045","423,856","417,570","471,783","494,810","424,849","314,940","396,491",E   383674
Manufacturing,Manufacture of paper and paper products,"2,938,543","2,546,550","2,701,166","2,256,621","2,282,277","2,703,010","2,584,472","2,492,981","2,566,459","2,359,936","2,375,670","2,279,192","2,192,708","2,365,571",E   2208099
Manufacturing,Printing and reproduction of recorded media,"372,697","311,202","339,085","296,597","291,289","257,623","201,106","216,625","208,841","210,603","210,456","187,025","172,849","195,023",E   223302
Manufacturing,Manufacture of coke and refined petroleum products,"21,358,243","20,096,414","18,472,043","17,969,535","15,063,978","14,394,442","14,433,944","13,981,103","13,656,099","13,205,597","12,678,896","12,204,607","9,893,192","9,306,191",E   9727025
Manufacturing,Manufacture of chemicals and chemical products,"23,138,859","21,101,772","21,550,913","21,048,248","20,586,224","21,222,980","21,016,186","19,692,367","19,260,101","18,420,522","18,512,746","18,041,014","17,728,829","18,562,799",E   17853558
Manufacturing,Manufacture of basic pharmaceutical products and pharmaceutical preparations,"905,230","964,539","1,070,645","896,917","827,956","801,925","620,240","700,388","806,794","811,195","953,192","922,611","1,012,638","937,292",E   914464
Manufacturing,Manufacture of rubber and plastics products,"1,601,717","1,230,884","1,286,648","1,130,148","1,089,408","1,125,461","1,155,077","1,182,588","1,171,448","1,168,125","1,092,436","1,147,194","781,473","773,147",E   734050
Manufacturing,Manufacture of other non-metallic mineral products,"24,890,753","21,774,699","22,542,590","22,394,438","21,220,471","20,547,985","19,883,578","18,620,979","18,757,653","18,247,050","19,168,089","19,212,770","17,614,851","18,814,174",E   17828492
Manufacturing,Manufacture of basic metals,"26,801,918","17,373,695","21,718,287","19,777,839","19,021,740","20,693,086","20,475,318","20,244,665","19,956,689","21,097,475","20,731,713","19,105,484","14,870,705","17,998,817",E   15961725
Manufacturing,"Manufacture of fabricated metal products, except machinery and equipment","1,382,827","1,164,327","1,220,415","1,102,595","1,091,824","1,110,565","988,712","1,018,386","1,003,191","965,151","969,837","987,144","1,015,194","1,224,249",E   1212585
Manufacturing,"Manufacture of computer, electronic and optical products","218,400","180,093","178,114","146,718","148,160","155,156","135,572","139,339","134,269","110,627","113,755","142,297","120,602","123,030",E   122708
Manufacturing,Manufacture of electrical equipment,"543,602","451,869","581,696","318,151","324,368","393,396","307,057","309,429","305,405","265,837","285,873","246,459","499,358","459,059",E   420938
Manufacturing,Manufacture of machinery and equipment n.e.c.,"677,538","575,209","623,539","502,859","513,497","573,085","456,023","464,553","483,268","462,628","441,816","439,717","496,099","531,214",E   523215
Manufacturing,"Manufacture of motor vehicles, trailers and semi-trailers","1,091,978","877,469","1,065,690","820,461","833,311","846,442","718,730","779,198","794,569","833,659","858,117","831,540","804,819","862,517",E   883347
Manufacturing,Manufacture of other transport equipment,"365,119","328,543","393,144","303,548","319,944","327,261","246,496","259,147","266,776","271,152","277,193","282,407","295,470","307,706",E   310154
Manufacturing,Manufacture of furniture; other manufacturing,"340,080","285,935","298,607","258,116","236,080","233,767","218,661","212,329","228,344","223,328","219,324","228,923","263,596","277,531",E   282960
Manufacturing,Repair and installation of machinery and equipment,"396,131","392,695","409,281","374,415","355,113","399,708","377,440","406,398","402,427","440,224","445,732","498,406","429,964","412,570",E   391336
Water supply ,"Water collection, treatment and supply","73,056","77,029","80,033","78,402","74,423","77,216","78,785","82,881","84,415","87,710","90,990","95,383","83,981","92,339",E   84469
Water supply ,"Sewerage, waste management, remediation activities","9,502,316","9,691,143","10,078,476","10,199,715","10,303,497","9,463,293","9,715,853","9,789,465","9,834,787","9,910,620","10,032,663","10,414,409","10,342,658","9,654,137",E   9434853
Transportation and storage,Land transport and transport via pipelines,"20,806,657","19,811,530","19,717,712","19,609,783","18,853,946","17,752,140","16,625,026","16,042,729","15,890,071","15,647,294","14,377,214","14,963,125","13,998,228","16,081,664",E   16420072
Transportation and storage,Water transport,"31,303,442","24,974,652","26,322,690","26,055,051","27,136,514","25,201,795","23,834,355","22,887,630","21,809,564","27,325,720","29,021,315","27,141,332","25,767,801","28,165,529",E   29729750
Transportation and storage,Air transport,"20,905,837","19,516,553","19,269,402","19,972,841","19,432,075","19,085,634","18,500,994","19,135,452","18,768,406","19,036,784","19,499,701","20,260,239","9,865,602","10,715,737",E   13115095
Transportation and storage,Warehousing and support activities for transportation,"2,107,571","2,066,332","1,970,069","1,879,231","1,672,343","1,583,215","1,405,376","1,475,107","1,310,910","1,230,007","1,117,780","1,064,383","915,896","1,012,303",E   904970
Transportation and storage,Postal and courier activities,"466,118","476,844","509,153","437,912","404,567","464,070","410,745","406,808","386,731","369,069","354,269","333,028","273,823","324,901",E   267783
Information and communication,Publishing activities,"136,484","148,289","151,691","127,139","132,023","127,469","119,820","124,373","125,566","129,963","132,166","139,617","119,004","119,157",E   101146
Information and communication,"Motion picture, video, television programme production; programming and broadcasting activities","348,673","390,189","397,635","295,455","325,458","271,510","229,637","250,562","253,176","262,871","249,490","242,160","219,050","256,092",E   226136
Information and communication,Telecommunications,"221,676","228,314","232,544","208,263","208,799","251,224","232,413","246,194","242,135","259,164","268,527","288,468","252,392","320,667",E   268518
Information and communication,"Computer programming, consultancy, and information service activities","348,924","392,476","412,419","341,848","367,280","341,844","317,675","345,395","363,930","388,340","397,500","419,265","353,021","383,557",E   327237
