Reference area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,1.66,1.63,1.59,1.58,1.59,1.6,1.53,1.5,1.53,1.57
Austria,7.72,7.47,7.2,6.89,6.55,6.27,5.7,5.31,5.3,5.42
Belgium,8.96,8.66,8.16,7.48,6.77,6.45,6.22,6.18,6.16,6.19
Canada,2.6,2.46,2.36,2.26,2.21,2.18,2.22,2.25,2.28,2.23
Chile,6.76,6.84,7.01,7.25,7.39,7.43,7.12,7.04,7.16,7.42
Colombia,7.32,7.02,6.97,6.87,6.77,6.83,6.76,6.74,6.81,6.93
Costa Rica,4.67,4.58,4.65,4.76,4.85,5.03,5.14,5.07,5.15,5.22
Czechia,15.65,15.46,15,14.47,13.71,13.44,12.97,12.78,13.02,13.08
Denmark,7.02,6.56,5.94,5.31,4.77,4.54,4.63,4.72,4.69,4.5
Estonia,5.43,5.2,4.71,3.99,3.53,2.99,2.58,2.32,2.35,2.47
Finland,2.79,2.62,2.34,1.99,1.66,1.42,1.27,1.19,1.26,1.45
France,5.62,5.48,5.25,4.92,4.56,4.38,4.03,3.92,3.91,3.95
Germany,9.5,9.21,8.76,8.3,7.68,7.4,7.01,6.78,6.78,6.82
Greece,13.15,13.13,12.86,12.11,11.45,11.06,10.46,10.16,10.29,10.37
Hungary,19.81,19.35,18.79,17.81,17.37,17.3,16.3,16.13,16.27,16
Iceland,1.46,1.4,1.32,1.21,1.1,1.05,1.03,1.03,1.03,1.04
Ireland,3.33,3.28,3.12,2.94,2.73,2.56,2.31,2.18,2.21,2.34
Israel,7.1,7.06,6.89,6.7,6.48,6.38,5.99,5.74,5.76,5.8
Italy,9.76,9.57,9.3,8.89,8.51,8.39,7.76,7.48,7.59,7.71
Japan,4.89,5.04,5.25,5.51,5.73,5.84,5.9,5.9,5.99,6.07
Korea,7.86,7.94,8.2,8.47,8.68,8.79,8.79,9.05,9.43,9.95
Latvia,19.77,18.74,17.61,16.68,15.12,13.75,11.99,11.19,11.32,11.63
Lithuania,14.77,14.45,13.79,13.2,11.94,11.34,10.12,8.69,8.79,8.96
Luxembourg,5.49,5.26,4.91,4.5,4.09,3.74,3.41,3.3,3.36,3.51
Mexico,7.28,7.26,7.41,7.78,7.98,8.03,8.08,8.23,8.23,8.31
Netherlands,7.42,7.14,6.76,6.26,5.79,5.63,5.61,5.64,5.63,5.59
New Zealand,1.52,1.48,1.43,1.37,1.35,1.3,1.28,1.29,1.35,1.39
Norway,2.69,2.59,2.39,2.19,1.96,1.79,1.66,1.54,1.55,1.6
Poland,18.56,18.16,17.74,16.88,15.9,15.96,15.87,16.08,16.24,16.35
Portugal,5.23,5.02,4.83,4.63,4.44,4.27,4.17,4.08,4.03,4.02
Slovak Republic,16.67,16.23,15.44,14.74,14.24,14.37,13.59,13.55,13.73,14.03
Slovenia,9.58,9.29,9.25,9,8.41,8.64,8.25,8.15,8.3,8.55
Spain,4.9,4.8,4.68,4.49,4.36,4.28,4.01,3.88,3.9,3.95
Sweden,2.63,2.48,2.2,1.87,1.59,1.43,1.38,1.34,1.33,1.31
Switzerland,5.08,4.91,4.75,4.56,4.29,4.03,3.53,3.2,3.23,3.29
Turkie,14.64,14.45,14.27,14.31,14.41,14.29,13.82,13.28,13.03,12.93
United Kingdom,6.17,5.84,5.49,5.16,4.84,4.7,4.63,4.62,4.66,4.62
United States,4.85,4.68,4.49,4.32,4.17,4.03,3.82,3.65,3.68,3.72
G20,15.3,15.63,16.02,16.37,16.5,16.6,16.31,16.02,16.2,16.6
OECD,7.21,7.07,6.93,6.79,6.63,6.55,6.35,6.25,6.29,6.35
ASEAN,11.04,10.98,10.93,10.86,10.83,10.83,10.74,10.68,10.87,11.29
Latin America and the Caribbean,7.15,7.1,7.07,7.11,7.08,7.08,7.1,7.06,7.1,7.22
Middle East and North Africa,20.09,19.81,19.64,19.38,19.2,19.36,18.94,18.66,18.62,18.67
World,14.51,14.74,15.06,15.36,15.49,15.57,15.26,14.95,15.02,15.33
